YEAR,CAR_USE,CAR_USE_DETAL,REG_CNT
2012,탑차,윙바디,2545
2012,특수,의료(구급),586
2012,특수,소방(지휘),7
2012,특수,홍보,7
2012,특수,경찰,184
2013,전문수송류,장의,58
2013,전문수송류,활어,608
2013,특수,경찰,204
2013,특수,복지,12
2013,특수,도로정비,1
2013,특수,소방(기타),13
2014,특수,캠핑,187
2014,특수,고소작업,734
2014,특수,방제,78
2014,환경관련류,진공흡입(세정),4
2014,환경관련류,도로청소,3
2015,탱크로리,유류,265
2015,환경관련류,기타,6
2016,특수,복지(어린이),2232
2016,전문수송류,활어,924
2016,특수,레커,715
2016,특수,소방(펌프),28
2016,특수,소방(화학),1
2017,특수,집무,1148
2017,특수,캠핑,209
2017,특수,소방(지휘),68
2017,환경관련류,진개덤프,1
2017,환경관련류,도로청소,3
2017,특수,소방(펌프),12
2017,전문수송류,동물,14
2017,탱크로리,급수,1
2018,특수,집무,2081
2018,전문수송류,현금,150
2018,전문수송류,워크스루밴,478
2018,전문수송류,활어,1103
2018,전문수송류,기타,155
2018,특수,복지(장애인),547
2018,특수,운전교습,287
2018,특수,소방(기타),25
2018,전문수송류,동물,36
2019,특수,복지(어린이),4944
2019,특수,레커,539
2019,특수,의료(구급),551
2019,특수,보냉/냉장,139
2019,전문수송류,기타,162
2019,특수,도로정비,24
2019,특수,소방(장비운송),10
2020,특수,복지,14
2020,탱크로리,살수,1
2020,환경관련류,도로청소,4
2021,특수,캠핑,2704
2021,탑차,윙바디,5260
2021,특수,방제,138
2021,특수,이동정비,108
2021,특수,도로정비,16
2021,환경관련류,진공흡입(세정),4
2021,전문수송류,셀프로더,1
2021,특수,소방(펌프),18
2022,전문수송류,파워게이트,4251
2022,전문수송류,워크스루밴,272
2022,전문수송류,활어,805
2022,특수,기타,144
2022,특수,소방(지휘),12
2022,환경관련류,기타,70
2022,전문수송류,기타,151
2022,탱크로리,급수,1
2022,특수,방송,3
2022,특수,항공,2
2023,전문수송류,파워게이트,5002
2023,특수,고소작업,1195
2023,전문수송류,기타,199
2022,특수,고소작업(절연),4
2023,탱크로리,유류,243
2023,특수,도로정비,21
2023,특수,소방(구조),8
2024,특수,캠핑,824
2024,특수,방제,87
2024,특수,집무,2066
2024,전문수송류,기타,297
2024,전문수송류,동물,22
2012,탑차,보냉/냉장,9376
2012,탱크로리,유류,140
2012,특수,복지,21
2012,특수,소방(탱크),1
2013,특수,레커,707
2013,전문수송류,워크스루밴,499
2013,특수,복지(장애인),591
2013,특수,고소작업,661
2013,전문수송류,사료,16
2013,특수,카고크레인,3
2014,전문수송류,파워게이트,2558
2014,특수,소방(기타),10
2014,특수,소방(화학),1
2015,전문수송류,워크스루밴,397
2015,특수,카고크레인,12
2015,특수,기타,21
2015,전문수송류,사료,9
2015,특수,소방(구조),6
2016,탑차,내장(저상형),100
2016,특수,경찰,868
2016,특수,복지,15
2016,환경관련류,진개덤프,3
2016,특수,이동정비,94
2017,특수,운전교습,205
2017,특수,홍보,25
2017,특수,의료(구급),639
2017,전문수송류,사료,7
2018,탑차,보냉/냉장,10701
2018,특수,보냉/냉장,127
2018,특수,카고크레인,12
2018,특수,소방(펌프),9
2018,특수,방송,5
2018,특수,경찰,1353
2018,특수,소방(교육),5
2019,특수,사다리,174
2019,전문수송류,장의,62
2019,특수,캠핑,262
2018,환경관련류,도로청소,2
2019,환경관련류,도로청소,5
2019,특수,소방(기타),25
2019,특수,카고,13
2020,전문수송류,현금,99
2020,특수,방제,171
2020,전문수송류,장의,35
2020,특수,푸드트럭,46
2020,특수,방송,5
2020,특수,소방(장비운송),2
2021,특수,집무,1284
2021,탱크로리,유류,393
2021,특수,푸드트럭,26
2021,특수,의료(구급),267
2021,탑차,내장(저상형),214
2021,탱크로리,일반,1
2022,특수,캠핑,2912
2022,탑차,내장,8803
2022,특수,의료(구급),701
2022,탑차,윙바디,4923
2022,특수,집무,2056
2022,특수,복지(장애인),621
2022,특수,방제,163
2022,환경관련류,진공흡입(세정),4
2022,특수,소방(장비운송),4
2023,특수,복지(장애인),1080
2023,특수,복지(어린이),3783
2023,탑차,내장(저상형),268
2023,특수,고소작업(절연),314
2023,전문수송류,동물,48
2023,특수,소방(펌프),65
2023,특수,홍보,10
2024,특수,도로정비,7
2024,특수,레커,148
2024,특수,카고크레인,32
2024,특수,의료(구급),306
2024,특수,기타,83
2024,전문수송류,파워게이트,2883
2024,특수,이동정비,6
2024,특수,홍보,2
2024,탱크로리,살수,3
